categoryId,channelId,channelTitle,commentCount,dislikeCount,likeCount,publishAt,subs,tags,title,viewCount
20,UC-2wnBgTMRwgwkAkHq4V2rg,ProsafiaGaming,1656,4325,34501,2020-08-01T14:45:01Z,3390000,"['Super Mario Odyssey', 'Super Mario', 'Full Walkthrough', 'complete', 'Mario', 'Luigi', 'Peach', 'Bowser', 'Broodals', 'Nintendo', 'Switch', '2020', '2021', 'HD', 'all bosses', 'all', 'bosses', 'battles', 'fights', 'battle', 'fight', 'boss', 'secret', 'ending', '100%', 'final', 'finale', 'boss fight', 'boss battle', 'boss fights', 'boss battles', 'last', 'ProsafiaGaming', 'walkthrough', 'playthrough', 'lets play', 'speedrun', 'soundtrack', 'ost', 'theme', 'boss rush', 'no damage', 'final boss', 'Super Smash Bros Ultimate', 'Cappy']",Super Mario Odyssey - Full Game Walkthrough,10096380
20,UCNK813T2BNBwcfDPDTPeMPA,Level UP,2587,6620,64338,2020-12-05T15:01:02Z,2260000,"['new super mario bloopers', 'new super mario bloopers 3', 'mario bloopers level up', 'funny mario videos', 'funny mario animations', 'funny mario parody', 'funny mario moments', 'funny mario bloopers', 'level up mario', 'nintendo', 'nes', 'super mario bros', 'top 10 super mario', 'super mario vines', 'funny bowser', 'bowser', 'mario', 'super mario fails', 'funny mario fails', 'super mario bloopers 64', 'funny mario mishaps', 'mario calamity', 'sprite animation', 'new super mario bloopers 4']",NEW Super Mario Bloopers 4,9827361
20,UCJs3Q9ndrqierxmnQWUTHXA,YTSunny,471,1011,5893,2018-09-27T16:35:17Z,881000,"['super', 'mario', 'bros', 'nes', 'gameplay', 'walkthrough', 'part 1', '100%', 'smb', 'mario bros', '8-4', 'world 8', 'world 1', '1-1', '1-2', '1-3', '1-4', '2-1', '2-2', '2-3', '2-4', '3-1', '3-2', '3-3', '3-4', '4-1', '4-2', '4-3', '4-4', '5-1', '5-2', '5-3', '5-4', '6-1', '6-2', '6-3', '6-4', '7-1', '7-2', '7-3', '7-4', '8-1', '8-2', '8-3']",Super Mario Bros. - Full Game Walkthrough,1481650
20,UC69IolSTHZF8qcmeo38RAwQ,NintendoCentral,2508,2820,39578,2019-01-17T21:00:03Z,773000,"['new super mario bros u deluxe', 'new super mario bros', 'new super mario bros u', 'walkthrough', 'complete walkthrough', 'full game', 'all bosses', 'all star coins', 'all secret exits', 'final battle', '100% walkthrough', 'mario', 'nintendo switch', 'nintendocentral full game']",New Super Mario Bros. U Deluxe Worlds 1-9 Full Game (All Star Coins),7138340
20,UCP2ZafSpS9MUyllK1T8gK5Q,xRavenXP,2345,3608,32543,2018-01-08T01:44:19Z,39700,"['Nintendo', 'NES', 'Super Mario', 'Super Mario Bros', 'Longplay', 'Walkthrough', 'Playthrough']","[LONGPLAY] NES - Super Mario Bros 3 (HD, 60FPS)",5486658
20,UC69IolSTHZF8qcmeo38RAwQ,NintendoCentral,4175,2904,38062,2017-03-14T20:00:00Z,773000,"['mario', 'new super mario bros', 'new super mario bros. wii', 'nsmb', 'new super mario bros wii full game walkthrough', 'new super mario bros wii final boss', 'new super mario bros wii world 1', 'world 2', 'world 3', 'world 4', 'world 5', 'world 6', 'world 7', 'world 8', 'world 9', 'nintendo central', 'nintendo', 'central']",New Super Mario Bros. Wii Worlds 1 - 9 Full Game (100%),7376656
20,UC78W_CKbjaoMSgnt-YJ2K2g,NintendoBase,217,1445,8978,2020-11-12T16:00:08Z,74800,"['nsmb', 'nsmbu', 'new super mario bros', 'new super mario bros u deluxe', 'nintendo wii u', 'switch', 'nintendo', 'nintendobase', 'world 1', 'acorn plains', 'world 2', 'all castles', 'all bosses', 'all secret exits', 'all towers', 'all powerups', 'mario and luigi', '2 players', 'co op', 'coop', '2 player', 'walkthrough', 'playthrough', 'part 1', 'all airships', 'layer cake desert', 'soda jungle', 'meringue clouds', 'world 3', 'world 4', 'world 5', 'peachs castle', 'world 8', 'final boss', 'bowser']",New Super Mario Bros U - All Castles (2 Player),2393885
15,UCcp0nPEMYbqjSKz2eZA-uFQ,Animal Tales,3126,39913,150538,2017-12-23T18:24:50Z,160000,"['animals', 'wildanimals', 'pets', 'cute', 'funny', 'nature', 'aww', 'exotic', 'cat', 'kitties']",Cats Falls Compilation - Super Mario Bros Style,65579594
23,UCi9cDo6239RAzPpBZO9y5SA,Lele Pons,27888,131033,1305457,2016-11-24T20:00:25Z,17600000,"['super mario run', 'lele', 'pons', 'rudy', 'mancuso', 'juanpa', 'zurita', 'super', 'mario', 'run', 'scariest babysitting story', 'the untold story of zorro', 'we have big news', 'hispanic divorce court', 'Scariest Babysitting Story | Lele Pons', 'lelepons', 'hannahstocking', 'rudymancuso', 'anwar', 'shots', 'shotsstudios', 'alesso', 'anitta', 'brazil']","Super Mario Run |  Lele Pons, Rudy Mancuso &amp; Juanpa Zurita",195724690
20,UCw5YkWj0TfjZrQEgG8u9JjQ,Blue Television Games,535,35,2034,2021-03-10T21:15:00Z,351000,"['blue television games', 'btg', 'blue tv games', 'super Mario bros but you are cuphead', 'sonic boll', 'sonic boll cuphead', 'cuphead in mario', 'cuphead in super Mario bros', 'play as cuphead', 'mar10 day', 'super mar10', 'mar10', 'super mario day', 'play as cuphead in super Mario bros', 'super cuphead bros', 'super Mario troll', 'Mario troll']",Super Mario Bros. but you are Cuphead &amp; it has TROLLS!,83878
